# UltraFIBU - Kontenrahmen SKR03 (vollstaendig)
#
# Erzeugt aus dem DATEV-Kontenrahmen-PDF (BilRUG-Fassung, Stand 2026) mit
# Apps/UltraFIBU/tools/skr-pdf-extrahieren.py. Spaltenbedeutung nach der
# Legende des PDF:
#
#   bilanz_position      Fussnote 2) Bilanz- und GuV-Posten, grosse
#                        Kapitalgesellschaften, Gesamtkostenverfahren
#   funktion             KU/V/M Zusatzfunktion ueber einer Kontenklasse,
#                        AV/AM/S/F/R Hauptfunktion vor einem Konto, auch
#                        kombiniert (S/AV). AV und AM sind die
#                        DATEV-AUTOMATIKKONTEN.
#   abschlusszweck       HB Handelsbilanz, SB Steuerbilanz, EUeR
#   programmverbindung   U Umsatzsteuer, G Gewerbesteuer, K Koerperschaft
#   nummer_bis           gesetzt, wenn die Zeile einen Kontenbereich meint
#                        (im PDF als "0040-42" gedruckt). Solche Zeilen haben
#                        keine eigene Beschriftung; hier steht dann ihr
#                        Bilanz-Posten.
#
# STEUERSCHLUESSEL: uebernommen aus der bisherigen, handgepflegten Datei
# (14 Konten). Das PDF nennt die Automatikfunktion (AM/AV), nicht den
# Steuersatz - den aus einer Kontenbezeichnung zu lesen waere geraten. Wer
# weitere Schluessel setzt, prueft sie gegen die Steuerschluessel-Tabelle der
# Kanzlei.
#
# typ: fuer Konten ohne alten Eintrag aus der fuehrenden Ziffer abgeleitet -
# eine grobe Einordnung fuer die Auswertungen, keine Aussage des PDF.
#
nummer;bezeichnung;typ;steuerschluessel;euer_zeile;bwa_position;bilanz_position;funktion;abschlusszweck;programmverbindung;nummer_bis
8190;Erlöse, die mit den Durchschnittssätzen des § 24 UStG versteuert werden;ertrag;;;;Umsatzerlöse;M;;;
8191;Umsatzerlöse nach §§ 25 und 25a UStG 19 % USt 11);ertrag;;;;Umsatzerlöse;AM;;;
8192;Steuerfreie Erlöse Kleinunternehmer nach § 19 Abs. 1 UStG;ertrag;;;;Umsatzerlöse;AM;;U;
8193;Umsatzerlöse nach §§ 25 und 25a UStG ohne USt 11);ertrag;;;;Umsatzerlöse;KU;;;
8194;Umsatzerlöse aus Reiseleistungen § 25 Abs. 2 UStG, steuerfrei;ertrag;;;;Umsatzerlöse;AM;;U;
8195;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8196
8197;Umsatzerlöse nach § 25a UStG ohne USt 1);ertrag;;;;Umsatzerlöse;M;;;
8198;Umsatzerlöse nach § 25 UStG 19 % USt 1);ertrag;;;;Umsatzerlöse;AM;;U;
8199;Umsatzerlöse nach § 25a UStG 19 % USt 1);ertrag;;;;Umsatzerlöse;AM;;U;
8200;Erlöse;ertrag;;;;Umsatzerlöse;M;;;
8290;Erlöse 0 % USt;ertrag;;;;Umsatzerlöse;AM;;U;
8300;Erlöse 7 % USt;ertrag;USt7;;Umsatzerloese;Umsatzerlöse;AM;;U;8309
8310;Erlöse aus im Inland steuerpflichtigen EU-Lieferungen 7 % USt Art.-Nr. 11174 2026-01-01;ertrag;;;;Umsatzerlöse;AM;;U;8314
8315;Erlöse aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt;ertrag;;;;Umsatzerlöse;AM;;UU;8319
8320;Erlöse aus im anderen EU-Land steuerpflichtigen Lieferungen, im Inland nicht steuerbar 3);ertrag;;;;Umsatzerlöse;M;;;8329
8330;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;
8331;Erlöse aus im anderen EU-Land steuerpflichtigen elektronischen Dienstleistungen 5);ertrag;;;;Umsatzerlöse;M;;;
8332;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8333
8334;Erlöse 7 % USt;ertrag;;;;Umsatzerlöse;AM;;U;
8335;Erlöse aus Lieferungen von Mobilfunkgeräten, Tablet-Computern, Spielekonsolen und integrierten Schaltkreisen, für die der Leistungsempfänger die Umsatzsteuer nach § 13b UStG schuldet;ertrag;;;;Umsatzerlöse;AM;;U;
8336;Erlöse aus im anderen EU-Land steuerpflichtigen sonstigen Leistungen, für die der Leistungsempfänger die Umsatzsteuer schuldet;ertrag;OSS;;Umsatzerloese;Umsatzerlöse;AM;;U;
8337;Erlöse aus Leistungen, für die der Leistungsempfänger die Umsatzsteuer nach § 13b UStG schuldet;ertrag;;;;Umsatzerlöse;AM;;U;
8338;Erlöse aus im Drittland steuerbaren Leistungen, im Inland nicht steuerbare Umsätze;ertrag;OSS;;Umsatzerloese;Umsatzerlöse;AM;;U;
8339;Erlöse aus im anderen EU-Land steuerbaren Leistungen, im Inland nicht steuerbare Umsätze;ertrag;;;;Umsatzerlöse;AM;;U;
8340;Erlöse 16 % USt;ertrag;;;;Umsatzerlöse;AM;;U;8349
8400;Erlöse 19 % USt;ertrag;USt19;;Umsatzerloese;Umsatzerlöse;AM;;U;8409
8410;Erlöse 19 % USt;ertrag;;;;Umsatzerlöse;AM;;U;8419
8420;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8448
8449;Erlöse aus im Inland steuerpflichtigen elektronischen Dienstleistungen 19 % USt;ertrag;;;;Umsatzerlöse;AM;;U;
8499;Nebenerlöse (Bezug zu Materialaufwand) Konten für die Verbuchung von Sonderbetriebseinnahmen;ertrag;;;;Umsatzerlöse;M;;;
8500;Sonderbetriebseinnahmen, Tätigkeitsvergütung 28);ertrag;USt19;;Umsatzerloese;Umsatzerlöse;M;SB;;
8501;Sonderbetriebseinnahmen, Miet-/ Pachteinnahmen 28);ertrag;;;;Umsatzerlöse;M;SB;;
8502;Sonderbetriebseinnahmen, Zinseinnahmen 28);ertrag;;;;Umsatzerlöse;M;SB;;
8503;Sonderbetriebseinnahmen, Haftungsvergütung 28);ertrag;;;;Umsatzerlöse;M;SB;;
8504;Sonderbetriebseinnahmen, Pensionszahlungen 28);ertrag;;;;Umsatzerlöse;M;SB;;
8505;Sonderbetriebseinnahmen, sonstige Sonderbetriebseinnahmen 28);ertrag;;;;Umsatzerlöse;M;SB;;
8510;Provisionsumsätze;ertrag;;;;Umsatzerlöse;M;;;
8511;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8513
8514;Provisionsumsätze, steuerfrei § 4 Nr. 8 ff. UStG;ertrag;;;;Umsatzerlöse;AM;;U;
8515;Provisionsumsätze, steuerfrei § 4 Nr. 5 UStG;ertrag;;;;Umsatzerlöse;AM;;U;
8516;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8518
8519;Provisionsumsätze 19 % USt;ertrag;;;;Umsatzerlöse;AM;;U;
8520;Erlöse Abfallverwertung;ertrag;;;;Umsatzerlöse;M;;;
8540;Erlöse Leergut;ertrag;;;;Umsatzerlöse;M;;;
8570;Sonstige Erträge aus Provisionen, Lizenzen und Patenten;ertrag;;;;Umsatzerlöse;M;;;
8571;Statistische Konten EÜR 15);ertrag;;;;Umsatzerlöse;R;;;8579
8580;Statistisches Konto Erlöse zum allgemeinen Umsatzsteuersatz (EÜR) 15);ertrag;;;;Umsatzerlöse;M;EÜR;;
8581;Statistisches Konto Erlöse zum ermäßigten Umsatzsteuersatz (EÜR) 15);ertrag;;;;Umsatzerlöse;M;EÜR;;
8582;Statistisches Konto Erlöse steuerfrei und nicht steuerbar (EÜR) 15);ertrag;;;;Umsatzerlöse;M;EÜR;;
8589;Gegenkonto 8580-8582 bei Aufteilung der Erlöse nach Steuersätzen (EÜR);ertrag;;;;Umsatzerlöse;M;EÜR;;
8590;Verrechnete sonstige Sachbezüge (keine Waren);ertrag;;;;Sonstige betriebliche Erträge;M;;;
8591;Sachbezüge 7 % USt (Waren);ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8594;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;
8595;Sachbezüge 19 % USt (Waren);ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8596;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;8597
8600;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;
8603;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;M;;;
8604;Erstattete Vorsteuer anderer Länder;ertrag;;;;Sonstige betriebliche Erträge;KU;;;
8605;Sonstige Erträge betrieblich und regelmäßig;ertrag;;;;Sonstige betriebliche Erträge;M;;;
8606;Sonstige betriebliche Erträge von verbundenen Unternehmen;ertrag;;;;Sonstige betriebliche Erträge;M;;;
8607;Andere Nebenerlöse;ertrag;;;;Umsatzerlöse;M;;;
8609;Sonstige Erträge betrieblich und regelmäßig, steuerfrei § 4 Nr. 8 ff. UStG;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8610;Verrechnete sonstige Sachbezüge;ertrag;;;;Sonstige betriebliche Erträge;M;;;
8611;Verrechnete sonstige Sachbezüge aus Fahrzeug-Gestellung 19 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8612;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;
8613;Verrechnete sonstige Sachbezüge 19 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8614;Verrechnete sonstige Sachbezüge ohne Umsatzsteuer;ertrag;;;;Sonstige betriebliche Erträge;KU;;;
8625;Sonstige betriebliche Erträge, steuerfrei z. B. § 4 Nr. 2 bis 7 UStG;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;8629
8630;Sonstige Erträge betrieblich und regelmäßig 7 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;8634
8635;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;8639
8640;Sonstige Erträge betrieblich und regelmäßig 19 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;8644
8645;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;8648
8649;Sonstige Erträge betrieblich und regelmäßig 16 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8650;Erlöse Zinsen und Diskontspesen;ertrag;;;;Sonstige Zinsen und ähnliche Erträge;M;;;
8660;Erlöse Zinsen und Diskontspesen aus verbundenen Unternehmen Seite 27;ertrag;;;;Sonstige Zinsen und ähnliche Erträge;M;;;
8700;Erlösschmälerungen;ertrag;USt19;;Umsatzerloese;Umsatzerlöse;M;;;
8701;Erlösschmälerungen für steuerfreie Umsätze nach § 4 Nr. 8 ff. UStG;ertrag;;;;Umsatzerlöse;AM;;U;
8702;Erlösschmälerungen für steuerfreie Umsätze nach § 4 Nr. 2 bis 7 UStG;ertrag;;;;Umsatzerlöse;AM;;U;
8703;Erlösschmälerungen für sonstige steuerfreie Umsätze ohne Vorsteuerabzug;ertrag;;;;Umsatzerlöse;AM;;U;
8704;Erlösschmälerungen für sonstige steuerfreie Umsätze mit Vorsteuerabzug;ertrag;;;;Umsatzerlöse;AM;;U;
8705;Erlösschmälerungen aus steuerfreien Umsätzen § 4 Nr. 1a UStG;ertrag;;;;Umsatzerlöse;AM;;U;
8706;Erlösschmälerungen für steuerfreie innergemeinschaftliche Dreiecksgeschäfte nach § 25b Abs. 2 und 4 UStG;ertrag;;;;Umsatzerlöse;AM;;U;
8707;Erlösschmälerungen für steuerfreie Umsätze nach § 19 Abs. 1 UStG 1);ertrag;;;;Umsatzerlöse;AM;;U;
8708;Erlösschmälerungen für Umsätze nach § 25 UStG 19 % USt 1);ertrag;;;;Umsatzerlöse;AM;;U;
8709;Erlösschmälerungen für Umsätze nach § 25a UStG 19 % USt 1);ertrag;;;;Umsatzerlöse;AM;;U;
8710;Erlösschmälerungen 7 % USt;ertrag;;;;Umsatzerlöse;AM;;U;8711
8712;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8718
8719;Erlösschmälerungen 0 % USt;ertrag;;;;Umsatzerlöse;AM;;U;
8720;Erlösschmälerungen 19 % USt;ertrag;;;;Umsatzerlöse;AM;;U;8721
8722;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8723
8724;Erlösschmälerungen aus steuerfreien innergemeinschaftlichen Lieferungen;ertrag;;;;Umsatzerlöse;AM;;U;
8725;Erlösschmälerungen aus im Inland steuerpflichtigen EU-Lieferungen 7 % USt;ertrag;;;;Umsatzerlöse;AM;;U;
8726;Erlösschmälerungen aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt;ertrag;;;;Umsatzerlöse;AM;;U;
8727;Erlösschmälerungen aus im anderen EU-Land steuerpflichtigen Lieferungen 3);ertrag;;;;Umsatzerlöse;M;;;
8728;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8729
8730;Gewährte Skonti;ertrag;USt19;;Umsatzerloese;Umsatzerlöse;S/AM;;;
8731;Gewährte Skonti 7 % USt;ertrag;;;;Umsatzerlöse;S/AM;;U;
8732;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8733
8734;Gewährte Skonti 0 % USt;ertrag;;;;Umsatzerlöse;S/AM;;U;
8735;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;
8736;Gewährte Skonti 19 % USt;ertrag;;;;Umsatzerlöse;S/AM;;U;
8737;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;
8738;Gewährte Skonti aus Lieferungen von Mobilfunkgeräten etc., für die der Leistungsempfänger die Umsatzsteuer nach § 13b Abs. 2 Nr. 10 UStG schuldet;ertrag;;;;Umsatzerlöse;S/AM;;U;
8741;Gewährte Skonti aus Leistungen, für die der Leistungsempfänger die Umsatzsteuer nach § 13b UStG schuldet;ertrag;;;;Umsatzerlöse;S/AM;;U;
8742;Gewährte Skonti aus Erlösen aus im anderen EU-Land steuerpflichtigen sonstigen Leistungen, für die der Leistungsempfänger die Umsatzsteuer schuldet;ertrag;;;;Umsatzerlöse;S/AM;;U;
8743;Gewährte Skonti aus steuerfreien innergemeinschaftlichen Lieferungen § 4 Nr. 1b UStG;ertrag;;;;Umsatzerlöse;S/AM;;U;
8744;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;
8745;Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen;ertrag;;;;Umsatzerlöse;S/AM;;;
8746;Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 7 % USt;ertrag;;;;Umsatzerlöse;S/AM;;UU;
8747;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;
8748;Gewährte Skonti aus im Inland steuerpflichtigen EU-Lieferungen 19 % USt;ertrag;;;;Umsatzerlöse;S/AM;;U;
8749;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;
8750;Gewährte Boni 7 % USt;ertrag;;;;Umsatzerlöse;AM;;U;8751
8752;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8759
8760;Gewährte Boni 19 % USt;ertrag;;;;Umsatzerlöse;AM;;U;8761
8762;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8768
8769;Gewährte Boni;ertrag;;;;Umsatzerlöse;M;;;
8770;Gewährte Rabatte;ertrag;;;;Umsatzerlöse;M;;;
8780;Gewährte Rabatte 7 % USt;ertrag;;;;Umsatzerlöse;AM;;U;8781
8782;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8789
8790;Gewährte Rabatte 19 % USt;ertrag;;;;Umsatzerlöse;AM;;U;8791
8792;Umsatzerlöse;ertrag;;;;Umsatzerlöse;R;;;8799
8800;Erlöse aus Verkäufen Sachanlagevermögen (bei Buchverlust);ertrag;;;;Sonstige betriebliche Aufwendungen;M;;;
8801;Erlöse aus Verkäufen Sachanlagevermögen 19 % USt (bei Buchverlust);ertrag;;;;Sonstige betriebliche Aufwendungen;AM;;U;8806
8807;Erlöse aus Verkäufen Sachanlagevermögen steuerfrei § 4 Nr. 1a UStG (bei Buchverlust);ertrag;;;;Sonstige betriebliche Aufwendungen;AM;;U;
8808;Erlöse aus Verkäufen Sachanlagevermögen steuerfrei § 4 Nr. 1b UStG (bei Buchverlust);ertrag;;;;Sonstige betriebliche Aufwendungen;AM;;U;
8809;Sonstige betriebliche Aufwendungen;ertrag;;;;Sonstige betriebliche Aufwendungen;R;;;8816
8817;Erlöse aus Verkäufen immaterieller Vermögensgegenstände (bei Buchverlust);ertrag;;;;Sonstige betriebliche Aufwendungen;M;;;
8818;Erlöse aus Verkäufen Finanzanlagen (bei Buchverlust);ertrag;;;;Sonstige betriebliche Aufwendungen;M;;;
8819;Erlöse aus Verkäufen Finanzanlagen § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG i. V. m. § 8b Abs. 3 S. 3 KStG (bei Buchverlust) 9);ertrag;;;;Sonstige betriebliche Aufwendungen;M;;GK;
8820;Erlöse aus Verkäufen Sachanlagevermögen 19 % USt (bei Buchgewinn);ertrag;;;;Sonstige betriebliche Erträge;AM;;U;8825
8826;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;
8827;Erlöse aus Verkäufen Sachanlagevermögen steuerfrei § 4 Nr. 1a UStG (bei Buchgewinn);ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8828;Erlöse aus Verkäufen Sachanlagevermögen steuerfrei § 4 Nr. 1b UStG (bei Buchgewinn);ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8829;Erlöse aus Verkäufen Sachanlagevermögen (bei Buchgewinn);ertrag;;;;Sonstige betriebliche Erträge;M;;;
8830;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;8836
8837;Erlöse aus Verkäufen immaterieller Vermögensgegenstände (bei Buchgewinn);ertrag;;;;Sonstige betriebliche Erträge;M;;;
8838;Erlöse aus Verkäufen Finanzanlagen (bei Buchgewinn) Art.-Nr. 11174 2026-01-01;ertrag;;;;Sonstige betriebliche Erträge;M;;;
8839;Erlöse aus Verkäufen Finanzanlagen § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG (bei Buchgewinn) 9);ertrag;;;;Sonstige betriebliche Erträge;M;;GKGK;
8850;Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens 19 % USt für § 4 Abs. 3 Satz 4 EStG;ertrag;;;;Sonstige betriebliche Erträge;AM;EÜR;U;
8851;Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens, umsatzsteuerfrei § 4 Nr. 8 ff. UStG i. V. m. § 4 Abs. 3 Satz 4 EStG;ertrag;;;;Sonstige betriebliche Erträge;AM;EÜR;U;
8852;Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens, umsatzsteuerfrei § 4 Nr. 8 ff. UStG i. V. m. § 4 Abs. 3 Satz 4 EStG und § 3 Nr. 40 EStG bzw. § 8b Abs. 2 KStG 9);ertrag;;;;Sonstige betriebliche Erträge;AM;EÜR;UGK;
8853;Erlöse aus Verkäufen von Wirtschaftsgütern des Umlaufvermögens nach § 4 Abs 3 Satz 4 EStG;ertrag;;;;Sonstige betriebliche Erträge;M;EÜR;;
8900;Unentgeltliche Wertabgaben;ertrag;;;;Sonstige betriebliche Erträge;M;;;
8905;Entnahme von Gegenständen ohne USt;ertrag;;;;Sonstige betriebliche Erträge;KU;;;
8906;Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens ohne USt;ertrag;;;;Sonstige betriebliche Erträge;KU;;;
8908;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;8909
8910;Entnahme durch den Unternehmer für Zwecke außerhalb des Unternehmens (Waren) 19 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;8913
8914;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;
8915;Entnahme durch den Unternehmer für Zwecke außerhalb des Unternehmens (Waren) 7 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;8916
8917;Entnahme durch den Unternehmer für Zwecke außerhalb des Unternehmens (Waren) 7 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8918;Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens ohne USt (Telefon- Nutzung);ertrag;;;;Sonstige betriebliche Erträge;KU;;;
8919;Entnahme durch den Unternehmer für Zwecke außerhalb des Unternehmens (Waren) ohne USt;ertrag;;;;Sonstige betriebliche Erträge;KU;;;
8920;Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens 19 % USt;ertrag;USt19;;Umsatzerloese;Sonstige betriebliche Erträge;AM;;U;
8921;Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens 19 % USt (Fahrzeug- Nutzung);ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8922;Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens 19 % USt (Telefon- Nutzung);ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8923;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;
8924;Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens ohne USt (Fahrzeug- Nutzung);ertrag;;;;Sonstige betriebliche Erträge;KU;;;
8925;Unentgeltliche Erbringung einer sonstigen Leistung 19 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;8927
8928;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;
8929;Unentgeltliche Erbringung einer sonstigen Leistung ohne USt;ertrag;;;;Sonstige betriebliche Erträge;KU;;;
8930;Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens 7 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8931;Verwendung von Gegenständen für Zwecke außerhalb des Unternehmens 7 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8932;Unentgeltliche Erbringung einer sonstigen Leistung 7 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;UU;
8933;Unentgeltliche Erbringung einer sonstigen Leistung 7 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8934;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;
8935;Unentgeltliche Zuwendung von Gegenständen 19 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;8937
8938;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;
8939;Unentgeltliche Zuwendung von Gegenständen ohne USt;ertrag;;;;Sonstige betriebliche Erträge;KU;;;
8940;Unentgeltliche Zuwendung von Waren 19 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;8943
8944;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;
8945;Unentgeltliche Zuwendung von Waren 7 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;8946
8947;Unentgeltliche Zuwendung von Waren 7 % USt;ertrag;;;;Sonstige betriebliche Erträge;AM;;U;
8948;Sonstige betriebliche Erträge;ertrag;;;;Sonstige betriebliche Erträge;R;;;
8949;Unentgeltliche Zuwendung von Waren ohne USt;ertrag;;;;Sonstige betriebliche Erträge;KU;;;
8950;Nicht steuerbare Umsätze (Innenumsätze) Umsatz steuervergütungen nach § 24 UStG 8);ertrag;;;;Umsatzerlöse;KU;;;
8959;Direkt mit dem Umsatz verbundene Steuern;ertrag;;;;Umsatzerlöse;KU;;;
8960;Bestandsveränderungen - unfertige Erzeugnisse;ertrag;;;;Erhöhung oder Verminderung des Bestandes an fertigen und unfertigen Erzeugnissen;KU;;;
8970;Bestandsveränderungen - unfertige Leistungen;ertrag;;;;Erhöhung oder Verminderung des Bestandes an fertigen und unfertigen Erzeugnissen;KU;;;
8975;Bestandsveränderungen - in Ausführung befindliche Bauaufträge;ertrag;;;;Erhöhung oder Verminderung des Bestandes an fertigen und unfertigen Erzeugnissen;KU;;;
8977;Bestandsveränderungen - in Arbeit befindliche Aufträge;ertrag;;;;Erhöhung oder Verminderung des Bestandes an fertigen und unfertigen Erzeugnissen;KU;;;
8980;Bestandsveränderungen - fertige Erzeugnisse;ertrag;;;;Erhöhung oder Verminderung des Bestandes an fertigen und unfertigen Erzeugnissen;KU;;;
8990;Andere aktivierte Eigenleistungen;ertrag;;;;Andere aktivierte Eigenleistungen;KU;;;
8994;Aktivierte Eigenleistungen (den Herstellungskosten zurechenbare Fremdkapitalzinsen);ertrag;;;;Andere aktivierte Eigenleistungen;KU;;GK;
8995;Aktivierte Eigenleistungen zur Erstellung von selbst geschaffenen immateriellen Vermögensgegenständen Seite 29;ertrag;;;;Andere aktivierte Eigenleistungen;KU;HB;;
9000;Saldenvorträge, Sachkonten;statistisch;;;;;S;;;
9001;Saldenvorträge, Sachkonten;statistisch;;;;;F;;;9007
9008;Saldenvorträge, Debitoren;statistisch;;;;;S;;;
9009;Saldenvorträge, Kreditoren;statistisch;;;;;S;;;
9050;(ohne Standardbeschriftung);statistisch;;;;;R;;;
9051;Offene Posten aus 2021;statistisch;;;;;F;;;
9052;Offene Posten aus 2022;statistisch;;;;;F;;;
9053;Offene Posten aus 2023;statistisch;;;;;F;;;
9054;Offene Posten aus 2024;statistisch;;;;;F;;;
9055;Offene Posten aus 2025;statistisch;;;;;F;;;
9056;Offene Posten aus 2026 1);statistisch;;;;;F;;;
9057;(ohne Standardbeschriftung);statistisch;;;;;R;;;9089
9090;Summenvortragskonto;statistisch;;;;;F;;;
9091;Statistische Konten für Betriebswirtschaftliche Auswertungen (BWA);statistisch;;;;;R;;;9100
9101;Verkaufstage 12);statistisch;;;;;F;;;
9102;Anzahl der Barkunden 12);statistisch;;;;;F;;;
9103;(ohne Standardbeschriftung);statistisch;;;;;R;;;9107
9116;(ohne Standardbeschriftung);statistisch;;;;;R;;;9118
9120;Erweiterungsinvestitionen;statistisch;;;;;KU;;;
9130;(ohne Standardbeschriftung);statistisch;;;;;R;;;9131
9135;Auftragseingang im Geschäftsjahr;statistisch;;;;;KU;;;
9140;Variables Kapital Teilhafter;statistisch;;;;;R;;;
9141;Variables Kapital TH;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9142;Variables Kapital - Anteil für Teilhafter Sammelposten anrechenbare Privatsteuern;statistisch;;;;Kapitalanteile der Kommanditisten;F;;;
9143;Privatsteuern Kapitalertragsteuer (Sammelposten);statistisch;;;;Sammelposten anrechenbare Steuern;KU;;;
9144;Privatsteuern Solidaritätszuschlag (Sammelposten);statistisch;;;;Sammelposten anrechenbare Steuern;KU;;;
9145;Privatsteuern Kirchensteuer (Sammelposten) Kapitaländerungen durch Übertragung einer § 6b EStG Rücklage;statistisch;;;;Sammelposten anrechenbare Steuern;KU;;;
9146;Variables Kapital Vollhafter - Übertragung einer § 6b EStG-Rücklage;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;SB;;
9147;Variables Kapital Teilhafter - Übertragung einer § 6b EStG-Rücklage;statistisch;;;;Kapitalanteile der Kommanditisten;F;SB;;
9148;Kapitalanteile der Kommanditisten;statistisch;;;;Kapitalanteile der Kommanditisten;R;;;
9150;Festkapital – andere Kapitalkontenanpassungen VH;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9151;Variables Kapital – andere Kapitalkontenanpassungen VH;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9152;Verlust-/Vortragskonto – andere Kapitalkontenanpassungen VH;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9153;Kapitalkonto III – andere Kapitalkontenanpassungen VH;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9154;Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert – andere Kapitalkontenanpassungen VH;statistisch;;;;Nicht eingeforderte ausstehende Einlagen;F;;;
9155;Verrechnungskonto für Einzahlungsverpflichtungen – andere Kapitalkontenanpassungen VH;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
9156;Anrechenbare Privatsteuern Vollhafter, Eigenkapital;statistisch;;;;Kapitalanteil der persönlich haftenden Gesellschafter;R;;;
